country,iso3,year,value,source_id
Barbados,BRB,2013,6, Royal Barbados Police Force. 
Barbados,BRB,2014,2, Royal Barbados Police Force. 
Dominica,DMA,2005,1, Commonwealth of Dominica Police Force  
Dominica,DMA,2006,2, Commonwealth of Dominica Police Force  
Dominica,DMA,2007,1, Commonwealth of Dominica Police Force  
Dominica,DMA,2008,3, Commonwealth of Dominica Police Force  
Dominica,DMA,2009,0, Commonwealth of Dominica Police Force  
Dominica,DMA,2010,0, Commonwealth of Dominica Police Force  
Dominica,DMA,2011,1, Commonwealth of Dominica Police Force  
Dominica,DMA,2012,0, Commonwealth of Dominica Police Force  
Dominica,DMA,2013,0, Commonwealth of Dominica Police Force  
Dominica,DMA,2014,0, Commonwealth of Dominica Police Force  
Dominica,DMA,2015,0, Commonwealth of Dominica Police Force  
Montserrat,MSR,2012,1, Montserrat: :  Ministerio de Salud y Servicios Sociales 
Montserrat,MSR,2017,0, Montserrat: :  Ministerio de Salud y Servicios Sociales 
Puerto Rico,PRI,2005,45,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2006,52,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2007,47,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2008,61,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2009,82,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2010,69,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2011,54,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2012,44,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2013,59,"Policía de Puerto Rico, Informes Estadísticos."
Puerto Rico,PRI,2014,46,"Policía de Puerto Rico, Informes Estadísticos."
Suriname,SUR,2012,7,Dienst Criminele Informatie Verzorging (Service Criminal Information Provision) within the Police Corps Suriname.
Suriname,SUR,2013,3,Dienst Criminele Informatie Verzorging (Service Criminal Information Provision) within the Police Corps Suriname.
Suriname,SUR,2014,1,Dienst Criminele Informatie Verzorging (Service Criminal Information Provision) within the Police Corps Suriname.
Suriname,SUR,2015,2,Dienst Criminele Informatie Verzorging (Service Criminal Information Provision) within the Police Corps Suriname.
Suriname,SUR,2016,1,Dienst Criminele Informatie Verzorging (Service Criminal Information Provision) within the Police Corps Suriname.
